Problem 4
A, m, coins, time
2084, 89, [0 1 1 1 86 ],  6
2085, 90, [1 1 1 1 86 ],  6
2086, 90, [0 2 1 1 86 ],  6
2087, 91, [1 2 1 1 86 ],  6
2088, 87, [0 0 0 0 87 ],  6
2089, 88, [1 0 0 0 87 ],  6
2090, 88, [0 1 0 0 87 ],  6
2091, 89, [1 1 0 0 87 ],  6
2092, 89, [0 2 0 0 87 ],  6
2093, 90, [1 2 0 0 87 ],  6
2094, 88, [0 0 1 0 87 ],  6
2095, 89, [1 0 1 0 87 ],  6
2096, 89, [0 1 1 0 87 ],  6
2097, 90, [1 1 1 0 87 ],  6
2098, 90, [0 2 1 0 87 ],  6
2099, 91, [1 2 1 0 87 ],  6
2100, 88, [0 0 0 1 87 ],  6
2101, 89, [1 0 0 1 87 ],  6
2102, 89, [0 1 0 1 87 ],  6
2103, 90, [1 1 0 1 87 ],  6
2104, 90, [0 2 0 1 87 ],  6
2105, 91, [1 2 0 1 87 ],  6
2106, 89, [0 0 1 1 87 ],  6
2107, 90, [1 0 1 1 87 ],  6
2108, 90, [0 1 1 1 87 ],  6
2109, 91, [1 1 1 1 87 ],  6
2110, 91, [0 2 1 1 87 ],  6
2111, 92, [1 2 1 1 87 ],  6
2112, 88, [0 0 0 0 88 ],  6
2113, 89, [1 0 0 0 88 ],  6
2114, 89, [0 1 0 0 88 ],  6
2115, 90, [1 1 0 0 88 ],  6
2116, 90, [0 2 0 0 88 ],  6
2117, 91, [1 2 0 0 88 ],  6
2118, 89, [0 0 1 0 88 ],  6
2119, 90, [1 0 1 0 88 ],  6
2120, 90, [0 1 1 0 88 ],  6
2121, 91, [1 1 1 0 88 ],  6
2122, 91, [0 2 1 0 88 ],  6
2123, 92, [1 2 1 0 88 ],  7
2124, 89, [0 0 0 1 88 ],  7
2125, 90, [1 0 0 1 88 ],  7
2126, 90, [0 1 0 1 88 ],  7
2127, 91, [1 1 0 1 88 ],  7
2128, 91, [0 2 0 1 88 ],  7
2129, 92, [1 2 0 1 88 ],  7
2130, 90, [0 0 1 1 88 ],  7
2131, 91, [1 0 1 1 88 ],  7
2132, 91, [0 1 1 1 88 ],  7
2133, 92, [1 1 1 1 88 ],  7
2134, 92, [0 2 1 1 88 ],  7
2135, 93, [1 2 1 1 88 ],  7
2136, 89, [0 0 0 0 89 ],  7
2137, 90, [1 0 0 0 89 ],  7
2138, 90, [0 1 0 0 89 ],  7
2139, 91, [1 1 0 0 89 ],  7
2140, 91, [0 2 0 0 89 ],  7
2141, 92, [1 2 0 0 89 ],  7
2142, 90, [0 0 1 0 89 ],  7
2143, 91, [1 0 1 0 89 ],  7
2144, 91, [0 1 1 0 89 ],  7
2145, 92, [1 1 1 0 89 ],  7
2146, 92, [0 2 1 0 89 ],  7
