Problem 4
A, m, coins, time
2074, 70, [0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 69 ],  11
2075, 71, [1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 69 ],  11
2076, 70, [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 69 ],  11
2077, 71, [1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 69 ],  11
2078, 70, [0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 69 ],  11
2079, 71, [1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 69 ],  11
2080, 70, [0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 69 ],  11
2081, 71, [1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 69 ],  11
2082, 70, [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 69 ],  11
2083, 71, [1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 69 ],  11
2084, 70, [0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 69 ],  11
2085, 71, [1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 69 ],  11
2086, 70, [0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 69 ],  11
2087, 71, [1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 69 ],  11
2088, 70, [0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 69 ],  11
2089, 71, [1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 69 ],  11
2090, 70, [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 69 ],  11
2091, 71, [1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 69 ],  11
2092, 70, [0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 69 ],  11
2093, 71, [1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 69 ],  11
2094, 70, [0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 69 ],  11
2095, 71, [1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 69 ],  11
2096, 70, [0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 69 ],  11
2097, 71, [1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 69 ],  11
2098, 70, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 69 ],  12
2099, 71, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 69 ],  12
2100, 70, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70 ],  12
2101, 71, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70 ],  12
2102, 71, [0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 70 ],  12
2103, 72, [1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 70 ],  12
2104, 71, [0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 70 ],  12
2105, 72, [1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 70 ],  12
2106, 71, [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 70 ],  12
2107, 72, [1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 70 ],  12
2108, 71, [0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 70 ],  12
2109, 72, [1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 70 ],  12
2110, 71, [0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 70 ],  12
2111, 72, [1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 70 ],  12
2112, 71, [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 70 ],  12
2113, 72, [1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 70 ],  12
2114, 71, [0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 70 ],  12
2115, 72, [1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 70 ],  12
2116, 71, [0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 70 ],  12
2117, 72, [1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 70 ],  12
2118, 71, [0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 70 ],  12
2119, 72, [1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 70 ],  12
2120, 71, [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 70 ],  12
2121, 72, [1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 70 ],  12
2122, 71, [0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 70 ],  12
2123, 72, [1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 70 ],  12
2124, 71, [0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 70 ],  12
2125, 72, [1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 70 ],  12
2126, 71, [0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 70 ],  12
2127, 72, [1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 70 ],  12
2128, 71, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 70 ],  13
2129, 72, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 70 ],  13
2130, 71, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 ],  13
2131, 72, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 ],  13
2132, 72, [0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 71 ],  13
2133, 73, [1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 71 ],  13
2134, 72, [0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 71 ],  13
2135, 73, [1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 71 ],  13
2136, 72, [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 71 ],  13
2137, 73, [1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 71 ],  13
2138, 72, [0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 71 ],  13
2139, 73, [1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 71 ],  13
2140, 72, [0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 71 ],  13
2141, 73, [1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 71 ],  13
2142, 72, [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 71 ],  13
2143, 73, [1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 71 ],  13
2144, 72, [0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 71 ],  13
2145, 73, [1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 71 ],  13
2146, 72, [0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 71 ],  13
2147, 73, [1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 71 ],  13
2148, 72, [0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 71 ],  13
2149, 73, [1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 71 ],  13
2150, 72, [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 71 ],  13
2151, 73, [1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 71 ],  13
2152, 72, [0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 71 ],  13
2153, 73, [1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 71 ],  13
2154, 72, [0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 71 ],  13
2155, 73, [1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 71 ],  13
2156, 72, [0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 71 ],  13
2157, 73, [1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 71 ],  13
2158, 72, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 71 ],  14
2159, 73, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 71 ],  14
2160, 72, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72 ],  14
2161, 73, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72 ],  14
2162, 73, [0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 72 ],  14
2163, 74, [1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 72 ],  14
2164, 73, [0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 72 ],  14
2165, 74, [1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 72 ],  14
2166, 73, [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 72 ],  14
2167, 74, [1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 72 ],  14
2168, 73, [0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 72 ],  14
2169, 74, [1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 72 ],  14
2170, 73, [0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 72 ],  14
2171, 74, [1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 72 ],  14
2172, 73, [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 72 ],  14
2173, 74, [1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 72 ],  14
2174, 73, [0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 72 ],  14
2175, 74, [1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 72 ],  14
2176, 73, [0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 72 ],  14
2177, 74, [1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 72 ],  14
2178, 73, [0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 72 ],  14
2179, 74, [1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 72 ],  14
2180, 73, [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 72 ],  14
2181, 74, [1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 72 ],  14
2182, 73, [0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 72 ],  14
2183, 74, [1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 72 ],  14
2184, 73, [0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 72 ],  14
2185, 74, [1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 72 ],  14
2186, 73, [0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 72 ],  14
2187, 74, [1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 72 ],  14
2188, 73, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 72 ],  15
2189, 74, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 72 ],  15
2190, 73, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 ],  15
2191, 74, [1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 ],  15
2192, 74, [0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 73 ],  15
2193, 75, [1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 73 ],  15
2194, 74, [0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 73 ],  15
2195, 75, [1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 73 ],  15
2196, 74, [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 73 ],  15
2197, 75, [1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 73 ],  15
2198, 74, [0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 73 ],  15
2199, 75, [1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 73 ],  15
2200, 74, [0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 73 ],  15
